번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
5475,부산광역시 사하구청,부산광역시 사하구 장평로322번길 10,부산광역시 사하구 신평동 11-188,다목적,1,200,,30,2022-06,051-220-4344,35.09367,128.97542,2024-07-10
5476,부산광역시 사하구청,부산광역시 사하구 장평로322번길 10,부산광역시 사하구 신평동 11-188,다목적,1,200,,30,2022-06,051-220-4344,35.09367,128.97542,2024-07-10
5477,부산광역시 사하구청,부산광역시 사하구 장평로322번길 10,부산광역시 사하구 신평동 11-188,다목적,1,200,,30,2022-06,051-220-4344,35.09367,128.97542,2024-07-10
5478,부산광역시 사하구청,부산광역시 사하구 장평로322번길 10,부산광역시 사하구 신평동 11-188,다목적,1,200,,30,2022-06,051-220-4344,35.09367,128.97542,2024-07-10
5479,부산광역시 사하구청,부산광역시 사하구 신평동 73-1,부산광역시 사하구 신평동 73-1,다목적,1,200,,30,2022-06,051-220-4344,35.08972,128.97762,2024-07-10
5480,부산광역시 사하구청,부산광역시 사하구 신평동 370-211,부산광역시 사하구 신평동 370-211,다목적,1,200,,30,2022-06,051-220-4344,35.09182,128.96413,2024-07-10
5481,부산광역시 사하구청,부산광역시 사하구 신평동 370-211,부산광역시 사하구 신평동 370-211,다목적,1,200,,30,2022-06,051-220-4344,35.09182,128.96413,2024-07-10
5482,부산광역시 사하구청,부산광역시 사하구 하신중앙로53번길 60,부산광역시 사하구 신평동 370-95,다목적,1,200,,30,2022-06,051-220-4344,35.08183,128.95772,2024-07-10
5483,부산광역시 사하구청,부산광역시 사하구 하신중앙로53번길 60,부산광역시 사하구 신평동 370-95,다목적,1,200,,30,2022-06,051-220-4344,35.08183,128.95772,2024-07-10
5484,부산광역시 사하구청,부산광역시 사하구 하신중앙로3번가길 46,부산광역시 사하구 장림동 975-95,다목적,1,200,,30,2022-06,051-220-4344,35.07716,128.96115,2024-07-10
5485,부산광역시 사하구청,부산광역시 사하구 장림시장9길 99,부산광역시 사하구 장림동 640-92,다목적,1,200,,30,2022-06,051-220-4344,35.07991,128.96723,2024-07-10
5486,부산광역시 사하구청,부산광역시 사하구 옥천로 31-8,부산광역시 사하구 감천동 551-9,다목적,1,200,,30,2016-11,051-220-4344,35.09073,129.00595,2024-07-10
5487,부산광역시 사하구청,부산광역시 사하구 옥천로70번길 23,부산광역시 사하구 감천동 13-1499,다목적,1,200,,30,2016-11,051-220-4344,35.09262,129.00953,2024-07-10
5488,부산광역시 사하구청,부산광역시 사하구 감내1로 144,부산광역시 사하구 감천동 12-303,다목적,1,200,,30,2016-11,051-220-4344,35.09432,129.00843,2024-07-10
5489,부산광역시 사하구청,부산광역시 사하구 감내1로 135-2,부산광역시 사하구 감천동 12-416,다목적,1,200,,30,2016-11,051-220-4344,35.09421,129.008,2024-07-10
5490,부산광역시 사하구청,부산광역시 사하구 감내1로163번길 1,부산광역시 사하구 감천동 12-15,다목적,1,200,,30,2016-11,051-220-4344,35.0953,129.00852,2024-07-10
5491,부산광역시 사하구청,부산광역시 사하구 감내2로 60,부산광역시 사하구 감천동 11-90,다목적,1,200,,30,2016-11,051-220-4344,35.0958,129.00712,2024-07-10
5492,부산광역시 사하구청,부산광역시 사하구 감내1로175번길 102,부산광역시 사하구 감천동 6-1923,다목적,1,200,,30,2016-11,051-220-4344,35.09739,129.00843,2024-07-10
5493,부산광역시 사하구청,부산광역시 사하구 감내2로 187-5,부산광역시 사하구 감천동 2-7,다목적,1,200,,30,2016-11,051-220-4344,35.09818,129.01068,2024-07-10
5494,부산광역시 사하구청,부산광역시 사하구 감내2로 165,부산광역시 사하구 감천동 2-5,다목적,1,200,,30,2016-11,051-220-4344,35.09904,129.00962,2024-07-10
5495,부산광역시 사하구청,부산광역시 사하구 감내2로 150,부산광역시 사하구 감천동 2-190,다목적,1,200,,30,2016-11,051-220-4344,35.09847,129.00912,2024-07-10
5496,부산광역시 사하구청,부산광역시 사하구 하단동 1151-8,부산광역시 사하구 하단동 1151-8,다목적,2,200,,30,2016-11,051-220-4344,35.10828,128.94572,2024-07-10
5497,부산광역시 사하구청,부산광역시 사하구 하단동 1149-13,부산광역시 사하구 하단동 1149-13,다목적,2,200,,30,2016-11,051-220-4344,35.10773,128.94725,2024-07-10
5498,부산광역시 사하구청,부산광역시 사하구 장평로 320,부산광역시 사하구 신평동 10-91,다목적,1,200,,30,2022-09,051-220-4344,35.09359,128.97513,2024-07-10
5499,부산광역시 사하구청,부산광역시 사하구 장평로 320,부산광역시 사하구 신평동 10-91,다목적,1,200,,30,2022-09,051-220-4344,35.09359,128.97513,2024-07-10
5500,부산광역시 사하구청,부산광역시 사하구 장평로 320,부산광역시 사하구 신평동 10-91,다목적,1,200,,30,2022-09,051-220-4344,35.09359,128.97513,2024-07-10
5501,부산광역시 사하구청,부산광역시 사하구 장평로 320,부산광역시 사하구 신평동 10-91,다목적,1,200,,30,2022-09,051-220-4344,35.09359,128.97513,2024-07-10
5502,부산광역시 사하구청,부산광역시 사하구 장평로326번길 13,부산광역시 사하구 신평동 11-125,다목적,1,200,,30,2016-06,051-220-4344,35.0938,128.9758,2024-07-10
5503,부산광역시 사하구청,부산광역시 사하구 장평로326번길 5,부산광역시 사하구 신평동 11-89,다목적,1,200,,30,2016-06,051-220-4344,35.0936,128.97586,2024-07-10
5504,부산광역시 사하구청,부산광역시 사하구 원양로 382,부산광역시 사하구 감천동 385,다목적,3,200,,30,2016-09,051-220-4344,35.08463,129.00587,2024-07-10
5505,부산광역시 사하구청,부산광역시 사하구 원양로 348,부산광역시 사하구 감천동 381,다목적,3,200,,30,2016-09,051-220-4344,35.08184,129.00571,2024-07-10
5506,부산광역시 사하구청,부산광역시 사하구 원양로 314,부산광역시 사하구 감천동 344-24,다목적,3,200,,30,2016-09,051-220-4344,35.07871,129.00577,2024-07-10
5507,부산광역시 사하구청,부산광역시 사하구 다대동 1621-1,부산광역시 사하구 다대동 1621-1,다목적,1,200,,30,2017-08,051-220-4344,35.06122,128.96107,2024-07-10
5508,부산광역시 사하구청,부산광역시 사하구 다대동 1401,부산광역시 사하구 다대동 1401,다목적,1,200,,30,2017-08,051-220-4344,35.06133,128.96206,2024-07-10
5509,부산광역시 사하구청,부산광역시 사하구 다대동 1021,부산광역시 사하구 다대동 1021,다목적,1,200,,30,2017-08,051-220-4344,35.06129,128.9625,2024-07-10
5510,부산광역시 사하구청,부산광역시 사하구 다대동 1395,부산광역시 사하구 다대동 1395,다목적,1,200,,30,2017-08,051-220-4344,35.06161,128.96242,2024-07-10
5511,부산광역시 사하구청,부산광역시 사하구 하신중앙로3번다길 3,부산광역시 사하구 장림동 961-14,다목적,1,200,,30,2017-12,051-220-4344,35.07717,128.96115,2024-07-10
5512,부산광역시 사하구청,부산광역시 사하구 다산로 217,부산광역시 사하구 다대동 1501-2,다목적,1,200,,30,2017-12,051-220-4344,35.07232,128.95531,2024-07-10
5513,부산광역시 사하구청,부산광역시 사하구 장림번영로28번길 70,부산광역시 사하구 장림동 859-1,다목적,1,200,,30,2017-12,051-220-4344,35.07763,128.96736,2024-07-10
5514,부산광역시 사하구청,부산광역시 사하구 하신중앙로54번길 30,부산광역시 사하구 장림동 1033-14,다목적,1,200,,30,2017-12,051-220-4344,35.08461,128.968,2024-07-10
5515,부산광역시 사하구청,부산광역시 사하구 하신중앙로27번길 17,부산광역시 사하구 장림동 1146,다목적,1,200,,30,2017-12,051-220-4344,35.08151,128.96283,2024-07-10
5516,부산광역시 사하구청,부산광역시 사하구 하신번영로 286,부산광역시 사하구 하단동 884,다목적,1,200,,30,2023-10,051-220-4344,35.10644,128.95852,2024-07-10
5517,부산광역시 사하구청,부산광역시 사하구 하신번영로 286,부산광역시 사하구 하단동 884,다목적,1,200,,30,2023-10,051-220-4344,35.10644,128.95852,2024-07-10
5518,부산광역시 사하구청,부산광역시 사하구 하신번영로 381-2,부산광역시 사하구 하단동 1162,다목적,1,200,,30,2023-10,051-220-4344,35.11472,128.96003,2024-07-10
5519,부산광역시 사하구청,부산광역시 사하구 하신번영로 381-2,부산광역시 사하구 하단동 1162,다목적,1,200,,30,2023-10,051-220-4344,35.11472,128.96003,2024-07-10
5520,부산광역시 사하구청,부산광역시 사하구 낙동대로520번길 36,부산광역시 사하구 하단동 493-1,다목적,1,200,,30,2023-10,051-220-4344,35.11215,128.96663,2024-07-10
5521,부산광역시 사하구청,부산광역시 사하구 낙동대로520번길 36,부산광역시 사하구 하단동 493-1,다목적,1,200,,30,2023-10,051-220-4344,35.11215,128.96663,2024-07-10
5522,부산광역시 해운대구청,부산광역시 해운대구 마린시티 2로 33,부산광역시 해운대구 우3동1407-12,다목적,1,200,360도다방면,30,,051-749-6051,35.157889,129.144237,2024-07-11
5523,부산광역시 해운대구청,부산광역시 해운대구 아랫반송로 30번길 118,부산광역시 해운대구 반송1동744-409,다목적,1,200,360도다방면,30,,051-749-6051,35.222506,129.147283,2024-07-11
5524,부산광역시 해운대구청,부산광역시 해운대구 장산로 331-19,부산광역시 해운대구 좌4동1390,다목적,1,200,360도다방면,30,,051-749-6051,35.181631,129.167321,2024-07-11
5525,부산광역시 해운대구청,부산광역시 해운대구 우동3로11번길 43,부산광역시 해운대구 우1동265-35,다목적,1,200,360도다방면,30,,051-749-6051,35.170546,129.162611,2024-07-11
5526,부산광역시 해운대구청,부산광역시 해운대구 재송1로 46번길 58,부산광역시 해운대구 재송1동1092-18,다목적,5,200,360도다방면,30,,051-749-6051,35.184977,129.123365,2024-07-11
5527,부산광역시 해운대구청,부산광역시 해운대구 재반로 12번길 16,부산광역시 해운대구 재송1동100-12,다목적,1,200,360도다방면,30,,051-749-6051,35.180156,129.127397,2024-07-11
5528,부산광역시 해운대구청,부산광역시 해운대구 신반송로 203-11,부산광역시 해운대구 반송2동900,다목적,1,200,360도다방면,30,,051-749-6051,35.229858,129.157708,2024-07-11
5529,부산광역시 해운대구청,부산광역시 해운대구 반송로 911번길 59,부산광역시 해운대구 반송2동401-5,다목적,1,200,360도다방면,30,,051-749-6051,35.234426,129.150861,2024-07-11
5530,부산광역시 해운대구청,부산광역시 해운대구 아랫반송로 1번길 21,부산광역시 해운대구 반송1동697-4,다목적,1,200,360도다방면,30,,051-749-6051,35.226465,129.147155,2024-07-11
5531,부산광역시 해운대구청,부산광역시 해운대구 아랫반송로 80번길 39,부산광역시 해운대구 반송동250-2003,다목적,1,200,360도다방면,30,,051-749-6051,35.220616,129.151225,2024-07-11
5532,부산광역시 해운대구청,부산광역시 해운대구 재송2로90번길 29,부산광역시 해운대구 재송2동1184-10,다목적,1,200,360도다방면,30,,051-749-6051,35.191641,129.133942,2024-07-11
5533,부산광역시 해운대구청,부산광역시 해운대구 청사포로67번길 1-9,부산광역시 해운대구 중2동417-1,다목적,1,200,360도다방면,30,,051-749-6051,35.164292,129.186116,2024-07-11
5534,부산광역시 해운대구청,부산광역시 해운대구 좌동순환로468번길 29,부산광역시 해운대구 중1동798-2,다목적,5,200,360도다방면,30,,051-749-6051,35.162673,129.172851,2024-07-11
5535,부산광역시 해운대구청,부산광역시 해운대구 대천로 56,부산광역시 해운대구 중1동219-2,다목적,1,200,360도다방면,30,,051-749-6051,35.171948,129.171739,2024-07-11
5536,부산광역시 해운대구청,부산광역시 해운대구 마린시티 2로 10,부산광역시 해운대구 우3동1405-5,다목적,1,200,360도다방면,30,,051-749-6051,35.158995,129.144771,2024-07-11
5537,부산광역시 해운대구청,부산광역시 해운대구 센텀중앙로 166,부산광역시 해운대구 재송1동1198,다목적,1,200,360도다방면,30,,051-749-6051,35.18054,129.12155,2024-07-11
5538,부산광역시 해운대구청,부산광역시 해운대구 반여로 128,부산광역시 해운대구 반여1동1625,다목적,1,200,360도다방면,30,,051-749-6051,35.202398,129.12409,2024-07-11
5539,부산광역시 해운대구청,부산광역시 해운대구 우동1로 104,부산광역시 해운대구 우1동347-20,다목적,1,200,360도다방면,30,,051-749-6051,35.170569,129.155801,2024-07-11
5540,부산광역시 해운대구청,부산광역시 해운대구  재반로84번길 56,부산광역시 해운대구 재송1동1121-1,다목적,1,200,360도다방면,30,,051-749-6051,35.187483,129.12797,2024-07-11
5541,부산광역시 해운대구청,부산광역시 해운대구 재반로282번길 5,부산광역시 해운대구 반여3동1575-99,다목적,1,200,360도다방면,30,,051-749-6051,35.202533,129.131843,2024-07-11
5542,부산광역시 해운대구청,부산광역시 해운대구 반여로167번길 63,부산광역시 해운대구 반여동 926-5,다목적,3,200,360도다방면,30,,051-749-6051,35.20764,129.1243,2024-07-11
5543,부산광역시 해운대구청,부산광역시 해운대구 윗반송로31번길 11,부산광역시 해운대구 반송동 311-56,다목적,3,200,360도다방면,30,,051-749-6051,35.23007,129.15364,2024-07-11
5544,부산광역시 해운대구청,부산광역시 해운대구 반송로916번길 24,부산광역시 해운대구 반송동 332-19,다목적,3,200,360도다방면,30,,051-749-6051,35.23141,129.15396,2024-07-11
5545,부산광역시 해운대구청,부산광역시 해운대구 신반송로 182번길 17,부산광역시 해운대구 반송동 98,다목적,3,200,360도다방면,30,,051-749-6051,35.22959,129.16092,2024-07-11
5546,부산광역시 해운대구청,부산광역시 해운대구 반송로887번길 13-2,부산광역시 해운대구 반송동 369-1,다목적,2,200,360도다방면,30,,051-749-6051,35.23124,129.15033,2024-07-11
5547,부산광역시 해운대구청,부산광역시 해운대구 반송로892번길 5,부산광역시 해운대구 반송동 362-1,다목적,3,200,360도다방면,30,,051-749-6051,35.23067,129.15197,2024-07-11
5548,부산광역시 해운대구청,부산광역시 해운대구 반송로525번길 45,부산광역시 해운대구 석대동 632,다목적,3,200,360도다방면,30,,051-749-6051,35.22014,129.1202,2024-07-11
5549,부산광역시 해운대구청,부산광역시 해운대구 선수촌로 86-7,부산광역시 해운대구  반여동 1459-9,다목적,2,200,360도다방면,30,,051-749-6051,35.20144,129.11938,2024-07-11
5550,부산광역시 해운대구청,부산광역시 해운대구 해운대로108번길 27,부산광역시 해운대구 재송동 900-80,다목적,2,200,360도다방면,30,,051-749-6051,35.1877,129.11935,2024-07-11
5551,부산광역시 해운대구청,부산광역시 해운대구 해운대로 1255,부산광역시 해운대구 송정동 77-7,다목적,3,200,360도다방면,30,,051-749-6051,35.19745,129.20546,2024-07-11
5552,부산광역시 해운대구청,부산광역시 해운대구 해운대로81번길 96,부산광역시 해운대구 재송동 10648-6,다목적,3,200,360도다방면,30,,051-749-6051,35.19109,129.12524,2024-07-11
5553,부산광역시 해운대구청,부산광역시 해운대구 반송로607번길 17,부산광역시 해운대구 석대동 234,다목적,3,200,360도다방면,30,,051-749-6051,35.22052,129.12974,2024-07-11
5554,부산광역시 해운대구청,부산광역시 해운대구,부산광역시 해운대구 반여동 1469,다목적,3,200,360도다방면,30,,051-749-6051,35.19971,129.11608,2024-07-11
5555,부산광역시 해운대구청,부산광역시 해운대구 신반송로182번길 2-37,부산광역시 해운대구 반송2동130,다목적,1,200,360도다방면,30,,051-749-6051,35.228595,129.161768,2024-07-11
5556,부산광역시 해운대구청,부산광역시 해운대구 해운대로61번길 104-57,부산광역시 해운대구 반여2동1291-1458,다목적,1,200,360도다방면,30,,051-749-6051,35.194017,129.129648,2024-07-11
5557,부산광역시 해운대구청,부산광역시 해운대구 해운대로61번길 96-58,부산광역시 해운대구 반여2동1291-1122,다목적,1,200,360도다방면,30,,051-749-6051,35.194197,129.128835,2024-07-11
5558,부산광역시 해운대구청,부산광역시 해운대구 해운대로38번길 88,부산광역시 해운대구 재송1동1334,다목적,1,200,360도다방면,30,,051-749-6051,35.190533,129.116761,2024-07-11
5559,부산광역시 해운대구청,부산광역시 해운대구 대천로103번길 48,부산광역시 해운대구 좌4동1406,다목적,1,200,360도다방면,30,,051-749-6051,35.17887,129.17536,2024-07-11
5560,부산광역시 해운대구청,부산광역시 해운대구 해운대해변로 139,부산광역시 해운대구 우3동1388-5,다목적,1,200,360도다방면,30,,051-749-6051,35.159476,129.147671,2024-07-11
5561,부산광역시 해운대구청,부산광역시 해운대구 대천로67번길 36,부산광역시 해운대구 좌3동1371-2,다목적,3,200,360도다방면,30,,051-749-6051,35.175064,129.16616,2024-07-11
5562,부산광역시 해운대구청,부산광역시 해운대구 세실로 30,부산광역시 해운대구 좌2동1317,다목적,1,200,360도다방면,30,,051-749-6051,35.167759,129.18012,2024-07-11
5563,부산광역시 해운대구청,부산광역시 해운대구 세실로 19,부산광역시 해운대구 좌2동1334,다목적,2,200,360도다방면,30,,051-749-6051,35.165901,129.178581,2024-07-11
5564,부산광역시 해운대구청,부산광역시 해운대구 달맞이길117번다길 82,부산광역시 해운대구 중2동1496-2,다목적,1,200,360도다방면,30,,051-749-6051,35.158939,129.179375,2024-07-11
5565,부산광역시 해운대구청,부산광역시 해운대구 중동2로24번길 30,부산광역시 해운대구 중1동1368-9,다목적,1,200,360도다방면,30,,051-749-6051,35.164362,129.165189,2024-07-11
5566,부산광역시 해운대구청,부산광역시 해운대구 해운대해변로 115,부산광역시 해운대구 우3동977-8,다목적,1,200,360도다방면,30,,051-749-6051,35.162958,129.144256,2024-07-11
5567,부산광역시 해운대구청,부산광역시 해운대구 재반로212번길 21-18,부산광역시 해운대구 반여2동1291-1275,다목적,1,200,360도다방면,30,,051-749-6051,35.196028,129.132134,2024-07-11
5568,부산광역시 해운대구청,부산광역시 해운대구  재반로30번길 42,부산광역시 해운대구 재송1동115-36,다목적,1,200,360도다방면,30,,051-749-6051,35.182447,129.128229,2024-07-11
5569,부산광역시 해운대구청,부산광역시 해운대구 달맞이길117번나길 175-13,부산광역시 해운대구 중2동1477-1,다목적,1,200,360도다방면,30,,051-749-6051,35.163665,129.184528,2024-07-11
5570,부산광역시 해운대구청,부산광역시 해운대구 재반로165번길 21,부산광역시 해운대구 재송2동1035-6,다목적,1,300,360도다방면,30,,051-749-6051,35.193031,129.127941,2024-07-11
5571,부산광역시 해운대구청,부산광역시 해운대구 반송순환로184번길 32,부산광역시 해운대구 반송1동259-97,다목적,1,300,360도다방면,30,,051-749-6051,35.226018,129.150354,2024-07-11
5572,부산광역시 해운대구청,부산광역시 해운대구,부산광역시 해운대구 반여4동682-1,다목적,1,200,360도다방면,30,,051-749-6051,35.209535,129.118888,2024-07-11
5573,부산광역시 해운대구청,부산광역시 해운대구,부산광역시 해운대구 반여4동620-6,다목적,4,300,360도다방면,30,,051-749-6051,35.209089,129.116605,2024-07-11
5574,부산광역시 해운대구청,부산광역시 해운대구,부산광역시 해운대구 반여3동1575-77,다목적,5,300,360도다방면,30,,051-749-6051,35.202671,129.135704,2024-07-11
5575,부산광역시 해운대구청,부산광역시 해운대구 반여로167번길 43-17,부산광역시 해운대구 반여1동931-2,다목적,1,200,360도다방면,30,,051-749-6051,35.206656,129.124058,2024-07-11
5576,부산광역시 해운대구청,부산광역시 해운대구,부산광역시 해운대구 반여1동1199-16,다목적,1,300,360도다방면,30,,051-749-6051,35.200306,129.116856,2024-07-11
5577,부산광역시 해운대구청,부산광역시 해운대구 송정중앙로21번길 36,부산광역시 해운대구 송정동193-5,다목적,1,200,360도다방면,30,,051-749-6051,35.18441,129.204026,2024-07-11
5578,부산광역시 해운대구청,부산광역시 해운대구 달맞이길62번길 5-42,부산광역시 해운대구 중1동967-6,다목적,1,200,360도다방면,30,,051-749-6051,35.158905,129.172843,2024-07-11
5579,부산광역시 해운대구청,부산광역시 해운대구 좌동순환로468번나길 45,부산광역시 해운대구 중1동881-1,다목적,1,200,360도다방면,30,,051-749-6051,35.165116,129.172722,2024-07-11
5580,부산광역시 해운대구청,부산광역시 해운대구 좌동순환로468번다길 22,부산광역시 해운대구 중1동755-11,다목적,1,300,360도다방면,30,,051-749-6051,35.164251,129.173938,2024-07-11
5581,부산광역시 해운대구청,부산광역시 해운대구 좌동순환로468번길 70,부산광역시 해운대구 중1동785-8,다목적,1,200,360도다방면,30,,051-749-6051,35.162923,129.174421,2024-07-11
5582,부산광역시 해운대구청,부산광역시 해운대구 좌동순환로446번길 16-4,부산광역시 해운대구 중1동922,다목적,1,200,360도다방면,30,,051-749-6051,35.161869,129.172927,2024-07-11
5583,부산광역시 해운대구청,부산광역시 해운대구 재반로103번길 25,부산광역시 해운대구 재송2동1081-5,다목적,1,200,360도다방면,30,,051-749-6051,35.188101,129.124556,2024-07-11
5584,부산광역시 해운대구청,부산광역시 해운대구 재반로84번길 148,부산광역시 해운대구 재송2동1157,다목적,3,300,360도다방면,30,,051-749-6051,35.189672,129.130078,2024-07-11
5585,부산광역시 해운대구청,부산광역시 해운대구 해운대로295번길 35,부산광역시 해운대구 우2동1204-7,다목적,1,200,360도다방면,30,,051-749-6051,35.173981,129.133064,2024-07-11
5586,부산광역시 해운대구청,부산광역시 해운대구 해운대로295번길 53,부산광역시 해운대구 우2동1209-25,다목적,1,300,360도다방면,30,,051-749-6051,35.173268,129.133178,2024-07-11
5587,부산광역시 해운대구청,부산광역시 해운대구 우동1로49번길 2,부산광역시 해운대구 우1동 460-11,다목적,4,200,360도다방면,30,,051-749-6051,35.165821,129.157491,2024-07-11
5588,부산광역시 사하구청,부산광역시 사하구 장평로125번길 125-14,부산광역시 사하구 장림동 625-27,다목적,1,200,,30,2022-06,051-220-4344,35.07846,128.97008,2024-07-10
5589,부산광역시 사하구청,부산광역시 사하구 다대로250,부산광역시 사하구 장림동 192-4,다목적,1,200,,30,2022-06,051-220-4344,35.08003,128.97722,2024-07-10
5590,부산광역시 사하구청,부산광역시 사하구 다대로 250,부산광역시 사하구 장림동 192-4,다목적,1,200,,30,2022-06,051-220-4344,35.08003,128.97722,2024-07-10
5591,부산광역시 사하구청,부산광역시 사하구 장림동 285-4,부산광역시 사하구 장림동 285-4,다목적,1,200,,30,2022-06,051-220-4344,35.07758,128.97728,2024-07-10
5592,부산광역시 사하구청,부산광역시 사하구 다대로271번길 4,부산광역시 사하구 장림동 274-3,다목적,1,200,,30,2022-06,051-220-4344,35.07786,128.97771,2024-07-10
5593,부산광역시 사하구청,부산광역시 사하구 다대로271번길 4,부산광역시 사하구 장림동 274-3,다목적,1,200,,30,2022-06,051-220-4344,35.07786,128.97771,2024-07-10
5594,부산광역시 사하구청,부산광역시 사하구 다대로271번길 4,부산광역시 사하구 장림동 274-3,다목적,1,200,,30,2022-06,051-220-4344,35.07786,128.97771,2024-07-10
5595,부산광역시 사하구청,부산광역시 사하구 감천로210번길 37,부산광역시 사하구 감천동 325-1,다목적,1,200,,30,2022-06,051-220-4344,35.08086,129.00948,2024-07-10
5596,부산광역시 사하구청,부산광역시 사하구 감천동 846-4,부산광역시 사하구 감천동 846-4,다목적,1,200,,30,2022-06,051-220-4344,35.07968,129.01143,2024-07-10
5597,부산광역시 사하구청,부산광역시 사하구 원양로350번길 9,부산광역시 사하구 감천동 236,다목적,1,200,,30,2022-06,051-220-4344,35.08173,129.00654,2024-07-10
5598,부산광역시 사하구청,부산광역시 사하구 감천로73번안길 7,부산광역시 사하구 감천동 500-98,다목적,1,200,,30,2022-06,051-220-4344,35.08991,129.00074,2024-07-10
5599,부산광역시 사하구청,부산광역시 사하구 감천동 산99-31,부산광역시 사하구 감천동 산99-31,다목적,1,200,,30,2014-11,051-220-4344,35.08987,129.00778,2024-07-10
5600,부산광역시 사하구청,부산광역시 사하구 사리로8번길 29,부산광역시 사하구 괴정동 364-6,다목적,4,200,,30,2014-11,051-220-4344,35.10146,129.00094,2024-07-10
5601,부산광역시 사하구청,부산광역시 사하구 회화나무길 113,부산광역시 사하구 괴정동 260-317,다목적,1,200,,30,2014-11,051-220-4344,35.1011,128.99421,2024-07-10
5602,부산광역시 사하구청,부산광역시 사하구 낙동대로563번안길1,부산광역시 사하구 하단동 477-4,다목적,1,200,,30,2014-11,051-220-4344,35.11365,128.96276,2024-07-10
5603,부산광역시 사하구청,부산광역시 사하구 장림시장5길 155,부산광역시 사하구 장림동 349-21,다목적,1,200,,30,2014-11,051-220-4344,35.07992,128.96915,2024-07-10
5604,부산광역시 사하구청,부산광역시 사하구 하신번영로 400,부산광역시 사하구 하단동 1217-1,다목적,1,200,,30,2014-11,051-220-4344,35.11583,128.96077,2024-07-10
5605,부산광역시 사하구청,부산광역시 사하구 낙동대로355번길11,부산광역시 사하구 당리동 339-2,다목적,1,200,,30,2014-11,051-220-4344,35.10091,128.97817,2024-07-10
5606,부산광역시 사하구청,부산광역시 사하구 대티로41번길 40,부산광역시 사하구 괴정동 194-5,다목적,1,200,,30,2014-11,051-220-4344,35.10745,129.00356,2024-07-10
5607,부산광역시 사하구청,부산광역시 사하구 사리로20,부산광역시 사하구 괴정동 305-7,다목적,1,200,,30,2014-11,051-220-4344,35.10144,128.99943,2024-07-10
5608,부산광역시 사하구청,부산광역시 사하구 낙동대로280번길 8,부산광역시 사하구 괴정동 764,다목적,1,200,,30,2014-11,051-220-4344,35.09968,128.98629,2024-07-10
5609,부산광역시 사하구청,부산광역시 사하구 괴정로57번길51,부산광역시 사하구 하단동 624-22,다목적,1,200,,30,2014-11,051-220-4344,35.10308,128.97328,2024-07-10
5610,부산광역시 사하구청,부산광역시 사하구 낙동대로451번길 21,부산광역시 사하구 하단동 619-10,다목적,1,200,,30,2014-11,051-220-4344,35.10419,128.96981,2024-07-10
5611,부산광역시 사하구청,부산광역시 사하구 낙동대로535번길21,부산광역시 사하구 하단동 500-5,다목적,1,200,,30,2014-11,051-220-4344,35.11122,128.96353,2024-07-10
5612,부산광역시 사하구청,부산광역시 사하구 다대로83번길 50,부산광역시 사하구 신평동 100-15,다목적,1,200,,30,2014-11,051-220-4344,35.09366,128.98017,2024-07-10
5613,부산광역시 사하구청,부산광역시 사하구 다대로 393,부산광역시 사하구 다대동 82-5,다목적,1,200,,30,2014-11,051-220-4344,35.06761,128.97938,2024-07-10
5614,부산광역시 사하구청,부산광역시 사하구 감천로37번길 16,부산광역시 사하구 감천동 667-1,다목적,1,200,,30,2014-11,051-220-4344,35.09175,128.99669,2024-07-10
5615,부산광역시 사하구청,부산광역시 사하구 감천로73번길 40,부산광역시 사하구 감천동 633-2,다목적,1,200,,30,2014-11,051-220-4344,35.09131,129.00019,2024-07-10
5616,부산광역시 사하구청,부산광역시 사하구 사하로141번나길 11,부산광역시 사하구 괴정동 494-18,다목적,1,200,,30,2015-12,051-220-4344,35.09425,128.99148,2024-07-10
5617,부산광역시 사하구청,부산광역시 사하구 낙동대로244번길 9,부산광역시 사하구 괴정동 912-6,다목적,1,200,,30,2015-12,051-220-4344,35.09991,128.99044,2024-07-10
5618,부산광역시 사하구청,부산광역시 사하구 오작로78번길 2-2,부산광역시 사하구 괴정동 378-132,다목적,1,200,,30,2015-12,051-220-4344,35.09924,129.00139,2024-07-10
5619,부산광역시 사하구청,부산광역시 사하구 낙동대로164번길 28,부산광역시 사하구 괴정동 241-11,다목적,1,200,,30,2015-12,051-220-4344,35.10369,128.99777,2024-07-10
5620,부산광역시 사하구청,부산광역시 사하구 낙동대로 99,부산광역시 사하구 괴정동 349-14,다목적,1,200,,30,2015-12,051-220-4344,35.10422,129.00486,2024-07-10
5621,부산광역시 사하구청,부산광역시 사하구 감천로117번길 50,부산광역시 사하구 감천동 541-11,다목적,1,200,,30,2015-12,051-220-4344,35.08984,129.00537,2024-07-10
5622,부산광역시 사하구청,부산광역시 사하구 마하로 41,부산광역시 사하구 당리동 351-18,다목적,1,200,,30,2015-12,051-220-4344,35.10344,128.98337,2024-07-10
5623,부산광역시 사하구청,부산광역시 사하구 낙동대로520번길 36,부산광역시 사하구 하단동 493-1,다목적,1,200,,30,2023-10,051-220-4344,35.11215,128.96663,2024-07-10
